"","Date","d2m","t2m","tp","RH"
"layer.450",2015-03-26,19.899368454997,25.2801737002187,0.000113629379149201,72.1302228059027
"layer.451",2015-03-27,20.9639231711454,26.7112062241404,0.00195235933265461,70.7726849630363
"layer.452",2015-03-28,22.4023297415222,26.3160337831853,0.0141261978169588,79.0985397835189
"layer.453",2015-03-29,22.3562251287345,26.8705294168367,0.0127781401825067,76.3417753742638
"layer.454",2015-03-30,22.3502157277029,25.9721279392627,0.23792958999489,80.4677128606752
"layer.455",2015-03-31,23.4211275970239,27.8092247826577,0.026625429523372,77.0705938718339
"layer.456",2015-04-01,22.3905854806229,25.274892789422,0.0753930930655019,84.0732872421323
"layer.457",2015-04-02,20.1928773628443,24.7561241339156,0.0385151945598031,75.7833623114817
"layer.458",2015-04-03,18.0402306014307,23.8490199308961,0.0184957639424239,69.9703695662683
"layer.459",2015-04-04,18.7622921651808,24.6546484691809,0.00178708023571034,69.7572070350991
"layer.460",2015-04-05,20.6810847632009,25.7848778892157,7.74745766926371e-05,73.4636400544397
"layer.461",2015-04-06,21.7020484434399,26.0318951860726,0.261962203684948,77.0767642853485
"layer.462",2015-04-07,19.4884962500481,23.0891211163341,0.157108111589123,80.1910940496805
"layer.463",2015-04-08,16.4186318637686,22.8809562346242,0.0238105199035392,66.9507470780129
"layer.464",2015-04-09,18.2843709070975,22.3621336922728,0.0826033936696972,77.736017884014
"layer.465",2015-04-10,18.7465701078626,23.3523987686288,0.110194672915838,75.3588997042943
"layer.466",2015-04-11,18.6488151507768,23.8309139510218,0.0316871018672915,72.7709832480179
"layer.467",2015-04-12,19.1303054439906,24.230740868202,0,73.2126305950599
"layer.468",2015-04-13,19.6980504699808,24.1704010736655,0.0162799910490143,76.1186665826021
"layer.469",2015-04-14,18.9117889802859,24.3860494909559,0.00535091076357191,71.5524289434037
"layer.470",2015-04-15,18.3286086399708,24.5859157985568,0,68.1684210981296
"layer.471",2015-04-16,19.1171640736128,25.3623039876472,0,68.3731251269318
"layer.472",2015-04-17,21.2491226330993,25.433104565943,0.0348532295681309,77.6786093069131
"layer.473",2015-04-18,21.1320277762469,25.527271827343,0.0204481232750784,76.6923010170149
"layer.474",2015-04-19,21.7151776119882,25.7769565230207,0.00126541808597984,78.3121038506438
"layer.475",2015-04-20,22.6417540400851,26.5777891321126,0.00959135259454935,79.0276480750894
"layer.476",2015-04-21,22.8136900196513,27.0094968538855,0,77.8533318406475
"layer.477",2015-04-22,22.2807568132411,25.1935303895329,0.0625736331087589,83.9189164743718
"layer.478",2015-04-23,20.4080749289234,23.2403949615788,0.0762194885502233,84.1181542645117
"layer.479",2015-04-24,20.4096611667591,24.0331916949303,0.027415670205637,80.2035248364566
"layer.480",2015-04-25,20.8874726083769,23.7196174088107,0.286568129242532,84.1715805942794
"layer.481",2015-04-26,18.3416767993716,23.0424214294038,0.0461335279345797,74.8621000268624
"layer.482",2015-04-27,19.6724754353366,22.1259072360999,0.10069112484154,85.9965580361026
"layer.483",2015-04-28,18.9004961870783,23.6065897517083,0.00766481812079229,74.9295720049578
"layer.484",2015-04-29,19.3603953429815,22.854100378315,0.0293008849051581,80.6947747031839
"layer.485",2015-04-30,18.6184386962221,21.6166159294339,0.0942504050324914,83.0723330937325
"layer.486",2015-05-01,17.0442562680196,21.3741251275456,0.0184286193092902,76.3607611565934
"layer.487",2015-05-02,19.0906739017557,22.670440539307,0.0161921865287626,80.2391740058171
"layer.488",2015-05-03,19.8317398149611,23.8062068326516,0.0218943153733411,78.4501977311584
"layer.489",2015-05-04,19.2084154555719,24.3190614069343,0.00837241925458507,73.1813050873383
"layer.490",2015-05-05,20.4595117412051,22.6154490141233,0.928646431040489,87.6402102174981
"layer.491",2015-05-06,19.0601876307355,22.0239870048952,0.102824258186477,83.298329966075
"layer.492",2015-05-07,18.0872747550903,20.6083997978827,0.182127234889068,85.4820118971727
"layer.493",2015-05-08,16.9890246867616,20.1806460233516,0.310564588130133,81.8939349892517
"layer.494",2015-05-09,16.3181803023621,21.140316843536,0.000712766105572313,73.9729053807394
"layer.495",2015-05-10,17.8661776044452,22.0059753269993,0.000278908476093519,77.3803861555653
"layer.496",2015-05-11,18.9867875253433,22.843430783032,0.0144877458415245,78.8891791533179
"layer.497",2015-05-12,19.5495298012361,23.2594506970939,0.0315683075163627,79.6713254094346
"layer.498",2015-05-13,18.3367289575069,21.6641643341709,0.0705896693105579,81.3824738252478
"layer.499",2015-05-14,17.0824784989465,20.4865346982226,0.0732547947487849,80.8385206552282
"layer.500",2015-05-15,15.8723132503906,21.0520501916486,0.00750986896740694,72.2893108531525
"layer.501",2015-05-16,17.1395403546304,19.771476474443,0.121041113652808,84.799649427224
"layer.502",2015-05-17,18.5340569442748,21.7422396365233,0.106124675153584,82.0026490767243
"layer.503",2015-05-18,18.6195917691105,21.3860677995386,0.0482356714488403,84.2590197780612
